id,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
6673,grated cheese,herb & pepper,mineral water,salmon,chicken,cookies,protein bar,fresh bread,zucchini,,,,,,,,,,,
6674,shrimp,,,,,,,,,,,,,,,,,,,
6675,milk,shallot,cottage cheese,tomato juice,green tea,,,,,,,,,,,,,,,
6676,turkey,spinach,french fries,,,,,,,,,,,,,,,,,
6677,mineral water,body spray,,,,,,,,,,,,,,,,,,
6678,pickles,parmesan cheese,spaghetti,soup,energy bar,eggs,cake,brownies,energy drink,,,,,,,,,,,
6679,pepper,spaghetti,black tea,french wine,yogurt cake,,,,,,,,,,,,,,,
6680,milk,yogurt cake,,,,,,,,,,,,,,,,,,
6681,soup,melons,salad,,,,,,,,,,,,,,,,,
6682,herb & pepper,ground beef,pepper,tomato sauce,mineral water,chutney,eggs,oil,oatmeal,chocolate,brownies,,,,,,,,,
6683,champagne,,,,,,,,,,,,,,,,,,,
6684,burgers,mineral water,soup,escalope,,,,,,,,,,,,,,,,
6685,shrimp,olive oil,whole wheat rice,chocolate,tomato juice,,,,,,,,,,,,,,,
6686,chocolate,grated cheese,tomato sauce,spaghetti,eggplant,champagne,fresh bread,low fat yogurt,,,,,,,,,,,,
6687,spaghetti,meatballs,chocolate,escalope,,,,,,,,,,,,,,,,
6688,muffins,,,,,,,,,,,,,,,,,,,
6689,frozen vegetables,mineral water,hot dogs,cauliflower,,,,,,,,,,,,,,,,
6690,tomatoes,chocolate,black tea,honey,champagne,,,,,,,,,,,,,,,
6691,parmesan cheese,whole wheat rice,,,,,,,,,,,,,,,,,,
6692,whole wheat pasta,mineral water,,,,,,,,,,,,,,,,,,
6693,chocolate,,,,,,,,,,,,,,,,,,,
6694,grated cheese,frozen vegetables,fromage blanc,chocolate,french fries,escalope,,,,,,,,,,,,,,
6695,burgers,eggs,,,,,,,,,,,,,,,,,,
6696,eggs,,,,,,,,,,,,,,,,,,,
6697,mineral water,muffins,french fries,,,,,,,,,,,,,,,,,
6698,herb & pepper,shrimp,parmesan cheese,whole wheat pasta,meatballs,milk,almonds,eggs,,,,,,,,,,,,
6699,herb & pepper,black tea,strawberries,,,,,,,,,,,,,,,,,
6700,spaghetti,chocolate,,,,,,,,,,,,,,,,,,
6701,whole wheat pasta,mineral water,olive oil,cake,french fries,strawberries,pancakes,light mayo,,,,,,,,,,,,
6702,burgers,fromage blanc,honey,,,,,,,,,,,,,,,,,
6703,shrimp,spaghetti,butter,pancakes,honey,carrots,,,,,,,,,,,,,,
6704,mineral water,soup,milk,olive oil,cooking oil,,,,,,,,,,,,,,,
6705,shrimp,,,,,,,,,,,,,,,,,,,
6706,chocolate,cottage cheese,,,,,,,,,,,,,,,,,,
6707,whole wheat pasta,salmon,vegetables mix,,,,,,,,,,,,,,,,,
6708,spaghetti,chocolate,energy bar,french fries,candy bars,green tea,,,,,,,,,,,,,,
6709,turkey,ground beef,meatballs,eggplant,escalope,,,,,,,,,,,,,,,
6710,ham,red wine,pepper,spaghetti,flax seed,whole wheat rice,,,,,,,,,,,,,,
6711,milk,oil,carrots,frozen smoothie,hot dogs,tomato juice,,,,,,,,,,,,,,
6712,cookies,,,,,,,,,,,,,,,,,,,
6713,mineral water,milk,chicken,vegetables mix,green tea,,,,,,,,,,,,,,,
6714,burgers,spaghetti,,,,,,,,,,,,,,,,,,
6715,turkey,spaghetti,,,,,,,,,,,,,,,,,,
6716,turkey,shrimp,spaghetti,mineral water,milk,soda,burger sauce,asparagus,,,,,,,,,,,,
6717,burgers,shrimp,frozen vegetables,ground beef,meatballs,whole wheat rice,barbecue sauce,sparkling water,green tea,,,,,,,,,,,
6718,shrimp,ground beef,spaghetti,avocado,cake,pancakes,white wine,toothpaste,,,,,,,,,,,,
6719,vegetables mix,french fries,fresh bread,,,,,,,,,,,,,,,,,
6720,burgers,shrimp,mineral water,almonds,vegetables mix,honey,strawberries,candy bars,,,,,,,,,,,,
6721,mineral water,whole wheat rice,zucchini,,,,,,,,,,,,,,,,,
6722,fresh tuna,mineral water,almonds,cider,whole wheat rice,carrots,escalope,green tea,,,,,,,,,,,,
6723,magazines,,,,,,,,,,,,,,,,,,,
6724,chocolate,,,,,,,,,,,,,,,,,,,
6725,mushroom cream sauce,,,,,,,,,,,,,,,,,,,
6726,red wine,ground beef,spaghetti,avocado,eggs,,,,,,,,,,,,,,,
6727,chocolate,french fries,,,,,,,,,,,,,,,,,,
6728,soup,olive oil,,,,,,,,,,,,,,,,,,
6729,turkey,eggs,ketchup,french fries,,,,,,,,,,,,,,,,
6730,grated cheese,,,,,,,,,,,,,,,,,,,
6731,eggs,,,,,,,,,,,,,,,,,,,
6732,french fries,,,,,,,,,,,,,,,,,,,
6733,mineral water,eggs,,,,,,,,,,,,,,,,,,
6734,whole wheat pasta,,,,,,,,,,,,,,,,,,,
6735,fresh tuna,,,,,,,,,,,,,,,,,,,
6736,eggs,pasta,,,,,,,,,,,,,,,,,,
6737,eggs,cookies,,,,,,,,,,,,,,,,,,
6738,pepper,mineral water,milk,eggs,whole wheat rice,frozen smoothie,,,,,,,,,,,,,,
6739,mineral water,milk,pancakes,extra dark chocolate,low fat yogurt,,,,,,,,,,,,,,,
6740,milk,flax seed,almonds,eggs,cooking oil,chocolate,french fries,magazines,,,,,,,,,,,,
6741,eggs,,,,,,,,,,,,,,,,,,,
6742,mineral water,,,,,,,,,,,,,,,,,,,
6743,eggs,,,,,,,,,,,,,,,,,,,
6744,eggs,escalope,,,,,,,,,,,,,,,,,,
6745,tomatoes,whole wheat pasta,spaghetti,chocolate,milk,french fries,pancakes,mayonnaise,,,,,,,,,,,,
6746,turkey,olive oil,chicken,frozen smoothie,fresh bread,low fat yogurt,,,,,,,,,,,,,,
6747,turkey,parmesan cheese,spaghetti,french wine,salmon,eggs,champagne,low fat yogurt,,,,,,,,,,,,
6748,pepper,spaghetti,blueberries,escalope,shallot,low fat yogurt,,,,,,,,,,,,,,
6749,herb & pepper,tomatoes,spaghetti,mineral water,salmon,eggs,,,,,,,,,,,,,,
6750,burgers,shrimp,whole wheat pasta,olive oil,eggs,cookies,energy drink,fresh bread,,,,,,,,,,,,
6751,spaghetti,black tea,french fries,escalope,,,,,,,,,,,,,,,,
6752,chocolate,frozen vegetables,whole wheat pasta,mineral water,olive oil,energy bar,chicken,white wine,,,,,,,,,,,,
6753,frozen vegetables,tomatoes,mineral water,eggs,green tea,tomato juice,,,,,,,,,,,,,,
6754,frozen vegetables,ground beef,chocolate,rice,french fries,fresh bread,,,,,,,,,,,,,,
6755,tomatoes,butter,chutney,green tea,,,,,,,,,,,,,,,,
6756,milk,french fries,,,,,,,,,,,,,,,,,,
6757,frozen vegetables,ground beef,mineral water,chocolate,soup,milk,green tea,,,,,,,,,,,,,
6758,french fries,cookies,,,,,,,,,,,,,,,,,,
6759,eggs,french fries,,,,,,,,,,,,,,,,,,
6760,flax seed,,,,,,,,,,,,,,,,,,,
6761,pancakes,cake,cooking oil,,,,,,,,,,,,,,,,,
6762,toothpaste,,,,,,,,,,,,,,,,,,,
6763,meatballs,whole wheat rice,cake,,,,,,,,,,,,,,,,,
6764,mineral water,soup,gums,,,,,,,,,,,,,,,,,
6765,herb & pepper,tomato sauce,mineral water,carrots,cereals,,,,,,,,,,,,,,,
6766,ham,herb & pepper,whole wheat pasta,spaghetti,soup,milk,olive oil,butter,whole wheat rice,,,,,,,,,,,
6767,shrimp,mineral water,pancakes,,,,,,,,,,,,,,,,,
6768,butter,chicken,french fries,,,,,,,,,,,,,,,,,
6769,whole wheat pasta,mineral water,light cream,extra dark chocolate,clothes accessories,pancakes,,,,,,,,,,,,,,
6770,eggs,,,,,,,,,,,,,,,,,,,
6771,mineral water,meatballs,milk,energy bar,chocolate,french fries,low fat yogurt,,,,,,,,,,,,,
6772,grated cheese,mineral water,,,,,,,,,,,,,,,,,,
6773,toothpaste,,,,,,,,,,,,,,,,,,,
6774,grated cheese,spaghetti,olive oil,eggs,whole wheat rice,cake,chicken,white wine,,,,,,,,,,,,
6775,bug spray,protein bar,,,,,,,,,,,,,,,,,,
6776,shrimp,frozen vegetables,mineral water,vegetables mix,eggs,whole wheat rice,,,,,,,,,,,,,,
6777,spaghetti,mineral water,salmon,,,,,,,,,,,,,,,,,
6778,cake,,,,,,,,,,,,,,,,,,,
6779,brownies,,,,,,,,,,,,,,,,,,,
6780,soup,eggs,cake,,,,,,,,,,,,,,,,,
6781,mineral water,eggs,oil,protein bar,green tea,,,,,,,,,,,,,,,
6782,burgers,ground beef,spaghetti,salmon,eggs,honey,extra dark chocolate,escalope,protein bar,,,,,,,,,,,
6783,french fries,frozen smoothie,cottage cheese,,,,,,,,,,,,,,,,,
6784,muffins,whole wheat rice,cake,fresh bread,,,,,,,,,,,,,,,,
6785,frozen vegetables,mineral water,meatballs,whole wheat rice,chocolate,,,,,,,,,,,,,,,
6786,fresh tuna,tomatoes,ground beef,spaghetti,mineral water,olive oil,french wine,pancakes,cooking oil,,,,,,,,,,,
6787,ham,frozen vegetables,eggs,mint green tea,french fries,pancakes,low fat yogurt,,,,,,,,,,,,,
6788,whole wheat pasta,milk,pancakes,eggs,,,,,,,,,,,,,,,,
6789,spaghetti,mineral water,eggs,cottage cheese,zucchini,,,,,,,,,,,,,,,
6790,herb & pepper,honey,,,,,,,,,,,,,,,,,,
6791,escalope,,,,,,,,,,,,,,,,,,,
6792,chocolate,cake,cereals,cookies,tomato juice,green tea,,,,,,,,,,,,,,
6793,mineral water,eggs,honey,protein bar,,,,,,,,,,,,,,,,
6794,shrimp,mineral water,,,,,,,,,,,,,,,,,,
6795,turkey,frozen vegetables,mineral water,,,,,,,,,,,,,,,,,
6796,tomato juice,,,,,,,,,,,,,,,,,,,
6797,green tea,,,,,,,,,,,,,,,,,,,
6798,herb & pepper,cooking oil,,,,,,,,,,,,,,,,,,
6799,cookies,,,,,,,,,,,,,,,,,,,
6800,turkey,grated cheese,avocado,butter,cooking oil,fresh bread,,,,,,,,,,,,,,
6801,turkey,herb & pepper,whole wheat pasta,spaghetti,mineral water,,,,,,,,,,,,,,,
6802,mineral water,energy drink,,,,,,,,,,,,,,,,,,
6803,herb & pepper,spaghetti,eggs,cake,protein bar,,,,,,,,,,,,,,,
6804,cookies,,,,,,,,,,,,,,,,,,,
6805,cookies,,,,,,,,,,,,,,,,,,,
6806,mineral water,cake,low fat yogurt,,,,,,,,,,,,,,,,,
6807,mineral water,mint green tea,escalope,,,,,,,,,,,,,,,,,
6808,fresh tuna,olive oil,salmon,eggs,melons,,,,,,,,,,,,,,,
6809,turkey,parmesan cheese,milk,green tea,chocolate,,,,,,,,,,,,,,,
6810,ground beef,spaghetti,mineral water,meatballs,vegetables mix,,,,,,,,,,,,,,,
6811,tomato juice,,,,,,,,,,,,,,,,,,,
6812,red wine,yams,mineral water,olive oil,eggs,chocolate,hot dogs,strawberries,,,,,,,,,,,,
6813,burgers,mushroom cream sauce,low fat yogurt,,,,,,,,,,,,,,,,,
6814,ham,mineral water,soup,almonds,light cream,chicken,chocolate,french fries,cookies,,,,,,,,,,,
6815,frozen vegetables,mineral water,energy bar,fromage blanc,cake,brownies,energy drink,,,,,,,,,,,,,
6816,ground beef,pepper,spaghetti,mineral water,green grapes,green tea,escalope,,,,,,,,,,,,,
6817,tomatoes,green tea,,,,,,,,,,,,,,,,,,
6818,milk,,,,,,,,,,,,,,,,,,,
6819,ground beef,mineral water,soup,milk,,,,,,,,,,,,,,,,
6820,cookies,,,,,,,,,,,,,,,,,,,
6821,grated cheese,spaghetti,mineral water,cereals,,,,,,,,,,,,,,,,
6822,ground beef,milk,whole wheat rice,green tea,,,,,,,,,,,,,,,,
6823,burgers,yams,butter,cake,chili,chocolate,,,,,,,,,,,,,,
6824,pancakes,,,,,,,,,,,,,,,,,,,
6825,shrimp,mineral water,black tea,almonds,chicken,eggplant,,,,,,,,,,,,,,
6826,chocolate,cake,,,,,,,,,,,,,,,,,,
6827,mineral water,chocolate,escalope,,,,,,,,,,,,,,,,,
6828,yams,,,,,,,,,,,,,,,,,,,
6829,mineral water,avocado,,,,,,,,,,,,,,,,,,
6830,herb & pepper,chicken,cookies,,,,,,,,,,,,,,,,,
6831,fresh tuna,frozen vegetables,,,,,,,,,,,,,,,,,,
6832,low fat yogurt,,,,,,,,,,,,,,,,,,,
6833,turkey,fromage blanc,pancakes,honey,whole wheat rice,ketchup,french fries,tomato juice,,,,,,,,,,,,
6834,mineral water,gums,green tea,cookies,,,,,,,,,,,,,,,,
6835,burgers,tomatoes,mineral water,soup,milk,,,,,,,,,,,,,,,
6836,white wine,,,,,,,,,,,,,,,,,,,
6837,grated cheese,herb & pepper,pepper,milk,butter,nonfat milk,eggs,cooking oil,chicken,hot dogs,low fat yogurt,,,,,,,,,
6838,frozen vegetables,mineral water,chicken,oil,body spray,,,,,,,,,,,,,,,
6839,milk,strawberries,low fat yogurt,,,,,,,,,,,,,,,,,
6840,red wine,ground beef,mineral water,olive oil,light cream,gluten free bar,low fat yogurt,,,,,,,,,,,,,
6841,cookies,,,,,,,,,,,,,,,,,,,
6842,antioxydant juice,french fries,pancakes,light mayo,,,,,,,,,,,,,,,,
6843,herb & pepper,whole wheat pasta,milk,olive oil,,,,,,,,,,,,,,,,
6844,chocolate,ground beef,milk,chicken,fresh bread,,,,,,,,,,,,,,,
6845,milk,salmon,green tea,,,,,,,,,,,,,,,,,
6846,chicken,,,,,,,,,,,,,,,,,,,
6847,low fat yogurt,,,,,,,,,,,,,,,,,,,
6848,french wine,vegetables mix,,,,,,,,,,,,,,,,,,
6849,herb & pepper,ground beef,chocolate,,,,,,,,,,,,,,,,,
6850,energy bar,pancakes,champagne,,,,,,,,,,,,,,,,,
6851,herb & pepper,mineral water,eggs,cake,cereals,brownies,pancakes,tomato juice,low fat yogurt,green tea,,,,,,,,,,
6852,eggs,,,,,,,,,,,,,,,,,,,
6853,mineral water,milk,extra dark chocolate,protein bar,zucchini,green tea,,,,,,,,,,,,,,
6854,chocolate,,,,,,,,,,,,,,,,,,,
6855,burgers,red wine,ground beef,mineral water,pancakes,honey,gums,,,,,,,,,,,,,
6856,shrimp,parmesan cheese,,,,,,,,,,,,,,,,,,
6857,mushroom cream sauce,sandwich,,,,,,,,,,,,,,,,,,
6858,mineral water,,,,,,,,,,,,,,,,,,,
6859,tomatoes,spaghetti,cookies,,,,,,,,,,,,,,,,,
6860,turkey,frozen vegetables,ground beef,mineral water,low fat yogurt,,,,,,,,,,,,,,,
6861,turkey,cooking oil,chocolate,mushroom cream sauce,cottage cheese,,,,,,,,,,,,,,,
6862,cookies,,,,,,,,,,,,,,,,,,,
6863,cake,french fries,pancakes,,,,,,,,,,,,,,,,,
6864,chocolate,,,,,,,,,,,,,,,,,,,
6865,burgers,black tea,eggs,cookies,,,,,,,,,,,,,,,,
6866,energy bar,,,,,,,,,,,,,,,,,,,
6867,cake,french fries,energy drink,,,,,,,,,,,,,,,,,
6868,ground beef,mineral water,milk,pancakes,eggs,cottage cheese,fresh bread,,,,,,,,,,,,,
6869,ground beef,corn,cauliflower,,,,,,,,,,,,,,,,,
6870,herb & pepper,ground beef,spaghetti,honey,french fries,pancakes,low fat yogurt,,,,,,,,,,,,,
6871,milk,butter,chicken,eggs,whole wheat rice,cake,carrots,eggplant,magazines,,,,,,,,,,,
6872,turkey,mineral water,milk,nonfat milk,pancakes,,,,,,,,,,,,,,,
6873,chutney,vegetables mix,,,,,,,,,,,,,,,,,,
6874,mineral water,chicken,pancakes,cooking oil,cookies,cottage cheese,green tea,,,,,,,,,,,,,
6875,parmesan cheese,avocado,milk,energy bar,salmon,cookies,,,,,,,,,,,,,,
6876,chocolate,escalope,,,,,,,,,,,,,,,,,,
6877,meatballs,almonds,,,,,,,,,,,,,,,,,,
6878,almonds,eggs,yogurt cake,,,,,,,,,,,,,,,,,
6879,frozen smoothie,pancakes,,,,,,,,,,,,,,,,,,
6880,salad,,,,,,,,,,,,,,,,,,,
6881,eggs,cookies,,,,,,,,,,,,,,,,,,
6882,cookies,,,,,,,,,,,,,,,,,,,
6883,tomatoes,meatballs,chicken,eggs,,,,,,,,,,,,,,,,
6884,tomatoes,chocolate,eggs,pancakes,,,,,,,,,,,,,,,,
6885,eggs,whole wheat rice,,,,,,,,,,,,,,,,,,
6886,herb & pepper,,,,,,,,,,,,,,,,,,,
6887,nonfat milk,escalope,,,,,,,,,,,,,,,,,,
6888,french fries,yogurt cake,,,,,,,,,,,,,,,,,,
6889,cookies,,,,,,,,,,,,,,,,,,,
6890,frozen vegetables,,,,,,,,,,,,,,,,,,,
6891,yams,eggplant,,,,,,,,,,,,,,,,,,
6892,eggs,,,,,,,,,,,,,,,,,,,
6893,cookies,,,,,,,,,,,,,,,,,,,
6894,chocolate,pancakes,light cream,chili,extra dark chocolate,,,,,,,,,,,,,,,
6895,whole wheat pasta,french fries,brownies,,,,,,,,,,,,,,,,,
6896,ground beef,cookies,toothpaste,green tea,,,,,,,,,,,,,,,,
6897,ham,whole wheat rice,french fries,champagne,cauliflower,,,,,,,,,,,,,,,
6898,whole wheat rice,,,,,,,,,,,,,,,,,,,
6899,shrimp,milk,butter,cake,chocolate bread,green tea,,,,,,,,,,,,,,
6900,mineral water,sparkling water,yogurt cake,energy drink,light mayo,,,,,,,,,,,,,,,
6901,french fries,escalope,pasta,mushroom cream sauce,green tea,,,,,,,,,,,,,,,
6902,ground beef,spaghetti,yams,eggs,cookies,mushroom cream sauce,,,,,,,,,,,,,,
6903,frozen vegetables,french fries,,,,,,,,,,,,,,,,,,
6904,ground beef,spaghetti,mineral water,chocolate,salmon,chicken,chocolate,frozen smoothie,,,,,,,,,,,,
6905,parmesan cheese,hot dogs,,,,,,,,,,,,,,,,,,
6906,cooking oil,cottage cheese,,,,,,,,,,,,,,,,,,
6907,herb & pepper,vegetables mix,clothes accessories,,,,,,,,,,,,,,,,,
6908,milk,eggs,burger sauce,cooking oil,sandwich,,,,,,,,,,,,,,,
6909,chocolate,cake,cottage cheese,green tea,,,,,,,,,,,,,,,,
6910,eggs,chocolate,yogurt cake,,,,,,,,,,,,,,,,,
6911,fresh tuna,spaghetti,french wine,cake,strawberries,,,,,,,,,,,,,,,
6912,turkey,mineral water,milk,eggs,cooking oil,,,,,,,,,,,,,,,
6913,ground beef,spaghetti,mineral water,fromage blanc,bacon,pancakes,whole wheat rice,oil,french fries,cottage cheese,green tea,,,,,,,,,
6914,whole wheat rice,hot dogs,,,,,,,,,,,,,,,,,,
6915,meatballs,energy drink,fresh bread,,,,,,,,,,,,,,,,,
6916,burgers,grated cheese,frozen vegetables,ground beef,spaghetti,mineral water,soup,eggs,french fries,,,,,,,,,,,
6917,frozen vegetables,cake,french fries,pancakes,,,,,,,,,,,,,,,,
6918,cookies,,,,,,,,,,,,,,,,,,,
6919,burgers,mineral water,whole wheat rice,,,,,,,,,,,,,,,,,
6920,french fries,,,,,,,,,,,,,,,,,,,
6921,frozen vegetables,ketchup,green tea,,,,,,,,,,,,,,,,,
6922,frozen vegetables,,,,,,,,,,,,,,,,,,,
6923,mineral water,vegetables mix,eggs,cake,chicken,french fries,,,,,,,,,,,,,,
6924,ham,cookies,,,,,,,,,,,,,,,,,,
6925,herb & pepper,ground beef,brownies,low fat yogurt,,,,,,,,,,,,,,,,
6926,strawberries,melons,,,,,,,,,,,,,,,,,,
6927,muffins,,,,,,,,,,,,,,,,,,,
6928,spaghetti,black tea,strong cheese,cooking oil,mushroom cream sauce,,,,,,,,,,,,,,,
6929,green grapes,,,,,,,,,,,,,,,,,,,
6930,eggs,escalope,,,,,,,,,,,,,,,,,,
6931,frozen vegetables,eggs,,,,,,,,,,,,,,,,,,
6932,burgers,eggs,french fries,,,,,,,,,,,,,,,,,
6933,frozen smoothie,,,,,,,,,,,,,,,,,,,
6934,mineral water,green tea,,,,,,,,,,,,,,,,,,
6935,parmesan cheese,ground beef,spaghetti,milk,honey,,,,,,,,,,,,,,,
6936,eggs,cooking oil,,,,,,,,,,,,,,,,,,
6937,spaghetti,mineral water,milk,olive oil,ham,mint green tea,french fries,,,,,,,,,,,,,
6938,burgers,fresh tuna,eggs,french fries,champagne,,,,,,,,,,,,,,,
6939,turkey,ground beef,salmon,honey,,,,,,,,,,,,,,,,
6940,mineral water,cake,gums,,,,,,,,,,,,,,,,,
6941,cookies,brownies,pancakes,,,,,,,,,,,,,,,,,
6942,cookies,,,,,,,,,,,,,,,,,,,
6943,babies food,fresh bread,,,,,,,,,,,,,,,,,,
6944,escalope,,,,,,,,,,,,,,,,,,,
6945,low fat yogurt,,,,,,,,,,,,,,,,,,,
6946,mineral water,,,,,,,,,,,,,,,,,,,
6947,milk,cookies,,,,,,,,,,,,,,,,,,
6948,vegetables mix,,,,,,,,,,,,,,,,,,,
6949,spaghetti,,,,,,,,,,,,,,,,,,,
6950,mineral water,,,,,,,,,,,,,,,,,,,
6951,spaghetti,mineral water,olive oil,green tea,zucchini,,,,,,,,,,,,,,,
6952,french fries,,,,,,,,,,,,,,,,,,,
6953,soup,avocado,eggs,melons,white wine,,,,,,,,,,,,,,,
6954,mineral water,muffins,,,,,,,,,,,,,,,,,,
6955,chocolate,cookies,champagne,energy drink,green tea,,,,,,,,,,,,,,,
6956,shrimp,energy drink,green tea,,,,,,,,,,,,,,,,,
6957,pancakes,,,,,,,,,,,,,,,,,,,
6958,low fat yogurt,,,,,,,,,,,,,,,,,,,
6959,red wine,whole wheat pasta,avocado,olive oil,green tea,,,,,,,,,,,,,,,
6960,protein bar,,,,,,,,,,,,,,,,,,,
6961,grated cheese,ground beef,tomato sauce,mineral water,salmon,eggs,whole weat flour,protein bar,zucchini,,,,,,,,,,,
6962,cookies,,,,,,,,,,,,,,,,,,,
6963,burgers,frozen vegetables,chicken,cake,chocolate,,,,,,,,,,,,,,,
6964,black tea,vegetables mix,pancakes,eggs,cereals,,,,,,,,,,,,,,,
6965,turkey,mineral water,eggs,magazines,green tea,,,,,,,,,,,,,,,
6966,whole wheat pasta,milk,strong cheese,,,,,,,,,,,,,,,,,
6967,muffins,,,,,,,,,,,,,,,,,,,
6968,burgers,ham,,,,,,,,,,,,,,,,,,
6969,mineral water,milk,blueberries,,,,,,,,,,,,,,,,,
6970,butter,,,,,,,,,,,,,,,,,,,
6971,mineral water,,,,,,,,,,,,,,,,,,,
6972,ham,salmon,french fries,,,,,,,,,,,,,,,,,
6973,herb & pepper,shrimp,frozen vegetables,ground beef,spaghetti,mineral water,olive oil,chicken,eggs,rice,burger sauce,extra dark chocolate,protein bar,,,,,,,
6974,milk,bug spray,green tea,energy drink,hand protein bar,tomato juice,,,,,,,,,,,,,,
6975,cookies,green tea,,,,,,,,,,,,,,,,,,
6976,parmesan cheese,pancakes,,,,,,,,,,,,,,,,,,
6977,mineral water,,,,,,,,,,,,,,,,,,,
6978,mineral water,pancakes,,,,,,,,,,,,,,,,,,
6979,cookies,,,,,,,,,,,,,,,,,,,
6980,frozen vegetables,tomatoes,,,,,,,,,,,,,,,,,,
6981,pepper,oil,clothes accessories,chocolate,salt,green tea,,,,,,,,,,,,,,
6982,mineral water,meatballs,chicken,frozen smoothie,,,,,,,,,,,,,,,,
6983,spaghetti,blueberries,,,,,,,,,,,,,,,,,,
6984,shrimp,french wine,,,,,,,,,,,,,,,,,,
6985,champagne,,,,,,,,,,,,,,,,,,,
6986,grated cheese,shrimp,frozen vegetables,parmesan cheese,ground beef,chicken,antioxydant juice,chocolate,frozen smoothie,escalope,,,,,,,,,,
6987,mineral water,,,,,,,,,,,,,,,,,,,
6988,light mayo,tomato juice,,,,,,,,,,,,,,,,,,
6989,chocolate,french fries,shallot,low fat yogurt,green tea,,,,,,,,,,,,,,,
6990,shrimp,meatballs,honey,eggplant,chocolate,sandwich,babies food,,,,,,,,,,,,,
6991,parmesan cheese,eggs,cottage cheese,light mayo,,,,,,,,,,,,,,,,
6992,eggs,,,,,,,,,,,,,,,,,,,
6993,red wine,frozen vegetables,pepper,green beans,french fries,light mayo,green tea,,,,,,,,,,,,,
6994,spaghetti,,,,,,,,,,,,,,,,,,,
6995,light mayo,,,,,,,,,,,,,,,,,,,
6996,burgers,spaghetti,energy bar,eggs,mushroom cream sauce,yogurt cake,green tea,,,,,,,,,,,,,
6997,grated cheese,pepper,milk,,,,,,,,,,,,,,,,,
6998,pepper,spaghetti,mineral water,milk,olive oil,tea,asparagus,,,,,,,,,,,,,
6999,herb & pepper,shrimp,parmesan cheese,ground beef,eggs,clothes accessories,pancakes,,,,,,,,,,,,,
7000,milk,chocolate,champagne,,,,,,,,,,,,,,,,,
7001,sandwich,,,,,,,,,,,,,,,,,,,
7002,shrimp,,,,,,,,,,,,,,,,,,,
7003,gums,,,,,,,,,,,,,,,,,,,
7004,french fries,,,,,,,,,,,,,,,,,,,
7005,turkey,shrimp,spaghetti,butter,melons,low fat yogurt,,,,,,,,,,,,,,
7006,honey,energy drink,,,,,,,,,,,,,,,,,,
7007,champagne,,,,,,,,,,,,,,,,,,,
7008,fresh tuna,,,,,,,,,,,,,,,,,,,
7009,energy bar,eggs,chocolate,,,,,,,,,,,,,,,,,
7010,french fries,yogurt cake,green tea,,,,,,,,,,,,,,,,,
7011,almonds,cookies,,,,,,,,,,,,,,,,,,
7012,frozen vegetables,brownies,low fat yogurt,,,,,,,,,,,,,,,,,
7013,eggs,french fries,,,,,,,,,,,,,,,,,,
7014,brownies,,,,,,,,,,,,,,,,,,,
7015,escalope,,,,,,,,,,,,,,,,,,,
7016,red wine,black tea,french wine,extra dark chocolate,ham,salt,,,,,,,,,,,,,,
7017,spaghetti,vegetables mix,french fries,,,,,,,,,,,,,,,,,
7018,ground beef,milk,butter,eggs,,,,,,,,,,,,,,,,
7019,mineral water,fresh bread,,,,,,,,,,,,,,,,,,
7020,fresh tuna,frozen vegetables,tomatoes,spaghetti,butter,almonds,pancakes,honey,frozen smoothie,,,,,,,,,,,
7021,escalope,pasta,mushroom cream sauce,brownies,light mayo,fresh bread,green tea,,,,,,,,,,,,,
7022,muffins,pancakes,eggs,chocolate,french fries,escalope,green tea,,,,,,,,,,,,,
7023,green tea,,,,,,,,,,,,,,,,,,,
7024,herb & pepper,cider,eggs,champagne,green tea,,,,,,,,,,,,,,,
7025,nonfat milk,,,,,,,,,,,,,,,,,,,
7026,escalope,,,,,,,,,,,,,,,,,,,
7027,pepper,frozen smoothie,,,,,,,,,,,,,,,,,,
7028,chocolate,escalope,,,,,,,,,,,,,,,,,,
7029,herb & pepper,spaghetti,mineral water,muffins,,,,,,,,,,,,,,,,
7030,ham,spaghetti,avocado,milk,pancakes,eggs,oil,antioxydant juice,green tea,chocolate,frozen smoothie,escalope,,,,,,,,
7031,strawberries,fresh bread,,,,,,,,,,,,,,,,,,
7032,eggs,white wine,,,,,,,,,,,,,,,,,,
7033,turkey,burgers,spaghetti,milk,eggs,honey,,,,,,,,,,,,,,
7034,mineral water,salmon,,,,,,,,,,,,,,,,,,
7035,cookies,energy drink,,,,,,,,,,,,,,,,,,
7036,cookies,mushroom cream sauce,,,,,,,,,,,,,,,,,,
7037,yogurt cake,,,,,,,,,,,,,,,,,,,
7038,butter,energy drink,,,,,,,,,,,,,,,,,,
7039,energy bar,chicken,,,,,,,,,,,,,,,,,,
7040,french fries,,,,,,,,,,,,,,,,,,,
7041,ground beef,mineral water,cottage cheese,magazines,,,,,,,,,,,,,,,,
7042,burgers,eggs,green tea,,,,,,,,,,,,,,,,,
7043,eggs,,,,,,,,,,,,,,,,,,,
7044,frozen vegetables,milk,chocolate,yogurt cake,,,,,,,,,,,,,,,,
7045,hot dogs,,,,,,,,,,,,,,,,,,,
7046,cookies,,,,,,,,,,,,,,,,,,,
7047,pancakes,,,,,,,,,,,,,,,,,,,
